,Season,Stage,Player,Field_goals_made,Field_goals_attempts,3_points_made,3_points_attempts,Free_throw_made,Free_throw_attempts
NBA,2019 - 2020,Regular_Season,Emmanuel Mudiay,151,327,30,87,63,83
NBA,2019 - 2020,Regular_Season,Bismack Biyombo,151,278,0,0,91,151
NBA,2019 - 2020,Regular_Season,Georges Niang,141,322,90,225,20,24
NBA,2019 - 2020,Regular_Season,Willie Cauley-Stein,175,302,0,1,40,66
NBA,2019 - 2020,Regular_Season,Kyle Anderson,157,331,24,85,52,78
NBA,2019 - 2020,Regular_Season,Lonnie Walker,152,357,41,101,44,61
NBA,2019 - 2020,Regular_Season,Kyle Korver,126,293,99,237,35,41
NBA,2019 - 2020,Regular_Season,Taj Gibson,167,286,4,14,41,56
NBA,2019 - 2020,Regular_Season,Dwight Powell,146,229,10,39,74,111
NBA,2019 - 2020,Regular_Season,Kris Dunn,152,342,29,112,40,54
NBA,2019 - 2020,Regular_Season,Jakob Poeltl,166,266,0,0,40,86
NBA,2019 - 2020,Regular_Season,Frank Jackson,134,331,47,144,56,75
NBA,2019 - 2020,Regular_Season,Omari Spellman,127,295,43,110,73,92
NBA,2019 - 2020,Regular_Season,Marco Belinelli,123,314,67,178,48,58
NBA,2019 - 2020,Regular_Season,Pat Connaughton,137,301,55,166,31,40
NBA,2019 - 2020,Regular_Season,Justin Jackson,135,341,48,163,42,50
NBA,2019 - 2020,Regular_Season,Maurice Harkless,142,283,34,98,39,66
NBA,2019 - 2020,Regular_Season,Frank Ntilikina,131,333,44,137,51,59
NBA,2019 - 2020,Regular_Season,Robin Lopez,147,299,35,105,28,53
NBA,2019 - 2020,Regular_Season,Alex Caruso,120,291,40,120,69,94
NBA,2019 - 2020,Regular_Season,Draymond Green,123,316,36,129,63,83
NBA,2019 - 2020,Regular_Season,Abdel Nader,123,263,48,128,51,66
NBA,2019 - 2020,Regular_Season,Marvin Williams,119,267,56,156,49,57
NBA,2019 - 2020,Regular_Season,Rajon Rondo,137,328,41,125,27,41
NBA,2019 - 2020,Regular_Season,Darius Bazley,125,317,49,141,43,62
NBA,2019 - 2020,Regular_Season,Mohamed Bamba,132,286,37,107,31,46
NBA,2019 - 2020,Regular_Season,Isaac Bonga,118,234,25,71,69,85
NBA,2019 - 2020,Regular_Season,Solomon Hill,110,278,63,171,40,54
NBA,2019 - 2020,Regular_Season,Damyean Dotson,120,290,59,163,22,33
NBA,2019 - 2020,Regular_Season,Jerome Robinson,115,310,49,153,40,57
NBA,2019 - 2020,Regular_Season,Torrey Craig,124,269,45,138,22,36
NBA,2019 - 2020,Regular_Season,Damian Jones,121,178,2,9,62,84
NBA,2019 - 2020,Regular_Season,Matisse Thybulle,112,265,56,157,25,41
NBA,2019 - 2020,Regular_Season,Wesley Iwundu,97,233,28,82,78,97
NBA,2019 - 2020,Regular_Season,Vince Carter,107,304,61,202,23,29
NBA,2019 - 2020,Regular_Season,Patrick Patterson,95,233,67,172,35,43
NBA,2019 - 2020,Regular_Season,Juancho Hernangomez,100,247,44,129,44,71
NBA,2019 - 2020,Regular_Season,Jevon Carter,101,243,62,146,23,27
NBA,2019 - 2020,Regular_Season,Tony Bradley,126,189,3,3,30,46
NBA,2019 - 2020,Regular_Season,Thon Maker,93,193,22,64,73,110
NBA,2019 - 2020,Regular_Season,Raulzinho Neto,101,222,34,88,39,47
NBA,2019 - 2020,Regular_Season,Sterling Brown,95,256,44,136,32,40
NBA,2019 - 2020,Regular_Season,Ryan Arcidiacono,90,220,54,138,27,38
NBA,2019 - 2020,Regular_Season,Mario Hezonja,92,218,24,78,48,59
NBA,2019 - 2020,Regular_Season,DeAndre' Bembry,104,228,15,65,26,48
NBA,2019 - 2020,Regular_Season,Treveon Graham,87,242,33,120,36,56
NBA,2019 - 2020,Regular_Season,Bruno Fernando,103,199,5,37,29,51
NBA,2019 - 2020,Regular_Season,Cody Martin,89,207,18,77,42,65
NBA,2019 - 2020,Regular_Season,Grant Williams,87,211,24,96,39,54
NBA,2019 - 2020,Regular_Season,Semi Ojeleye,80,196,48,127,28,32
NBA,2019 - 2020,Regular_Season,Rodney Hood,87,172,35,71,21,27
NBA,2019 - 2020,Regular_Season,Dwayne Bacon,85,244,19,67,35,53
NBA,2019 - 2020,Regular_Season,Terrance Ferguson,78,220,49,168,15,20
NBA,2019 - 2020,Regular_Season,Elie Okobo,72,181,25,71,50,71
NBA,2019 - 2020,Regular_Season,Anthony Tolliver,65,182,49,145,21,29
NBA,2019 - 2020,Regular_Season,Skal Labissiere,81,147,3,13,25,33
NBA,2019 - 2020,Regular_Season,Rodney McGruder,72,181,24,89,19,34
NBA,2019 - 2020,Regular_Season,Matt Dellavedova,62,175,21,91,32,37
NBA,2019 - 2020,Regular_Season,Goga Bitadze,70,150,8,42,24,33
NBA,2019 - 2020,Regular_Season,Nassir Little,65,151,14,59,28,44
NBA,2019 - 2020,Regular_Season,David Nwaba,37,71,12,28,18,27
NBA,2019 - 2020,Regular_Season,Al-Farouq Aminu,25,86,9,36,19,29
